WBS,Equipment_Name,Equation_Key,Design_Parameter,Min_Range,Max_Range,Formula
Steel,st_pipe_eq_in_out,st_pipe_eq,=in_out_pipe_diam,"=VLOOKUP($E55,eq_table_cl,P$4,FALSE)","=VLOOKUP($E55,eq_table_cl,O$4,FALSE)","=IF(D55=0,0,IF(OR(D55>P55,D55<Q55),""contact vendor"",F55*D55^G55+H55*LN(D55)+I55+J55*EXP(K55*D55)+L55"
CPVC,cpvc_pipe_eq_res,cpvc_pipe_eq,=res_pipe_diam,"=VLOOKUP($E57,eq_table_cl,P$4,FALSE)","=VLOOKUP($E57,eq_table_cl,O$4,FALSE)","=IF(D57=0,0,IF(OR(D57>P57,D57<Q57),""contact vendor"",F57*D57^G57+H57*LN(D57)+I57+J57*EXP(K57*D57)+L57"
PVC,pvc_pipe_eq_res,pvc_pipe_eq,=res_pipe_diam,"=VLOOKUP($E58,eq_table_cl,P$4,FALSE)","=VLOOKUP($E58,eq_table_cl,O$4,FALSE)","=IF(D58=0,0,IF(OR(D58>P58,D58<Q58),""contact vendor"",F58*D58^G58+H58*LN(D58)+I58+J58*EXP(K58*D58)+L58"
Stainless Steel,ss_pipe_eq_res,ss_pipe_eq,=res_pipe_diam,"=VLOOKUP($E59,eq_table_cl,P$4,FALSE)","=VLOOKUP($E59,eq_table_cl,O$4,FALSE)","=IF(D59=0,0,IF(OR(D59>P59,D59<Q59),""contact vendor"",F59*D59^G59+H59*LN(D59)+I59+J59*EXP(K59*D59)+L59"
Steel,st_pipe_eq_res,st_pipe_eq,=res_pipe_diam,"=VLOOKUP($E60,eq_table_cl,P$4,FALSE)","=VLOOKUP($E60,eq_table_cl,O$4,FALSE)","=IF(D60=0,0,IF(OR(D60>P60,D60<Q60),""contact vendor"",F60*D60^G60+H60*LN(D60)+I60+J60*EXP(K60*D60)+L60"
CPVC,cpvc_pipe_eq_coag,cpvc_pipe_eq,=coag_pipe_diam,"=VLOOKUP($E62,eq_table_cl,P$4,FALSE)","=VLOOKUP($E62,eq_table_cl,O$4,FALSE)","=IF(D62=0,0,IF(OR(D62>P62,D62<Q62),""contact vendor"",F62*D62^G62+H62*LN(D62)+I62+J62*EXP(K62*D62)+L62"
PVC,pvc_pipe_eq_coag,pvc_pipe_eq,=coag_pipe_diam,"=VLOOKUP($E63,eq_table_cl,P$4,FALSE)","=VLOOKUP($E63,eq_table_cl,O$4,FALSE)","=IF(D63=0,0,IF(OR(D63>P63,D63<Q63),""contact vendor"",F63*D63^G63+H63*LN(D63)+I63+J63*EXP(K63*D63)+L63"
CPVC,cpvc_pipe_eq_polymer,cpvc_pipe_eq,=polymer_pipe_diam,"=VLOOKUP($E65,eq_table_cl,P$4,FALSE)","=VLOOKUP($E65,eq_table_cl,O$4,FALSE)","=IF(D65=0,0,IF(OR(D65>P65,D65<Q65),""contact vendor"",F65*D65^G65+H65*LN(D65)+I65+J65*EXP(K65*D65)+L65"
PVC,pvc_pipe_eq_polymer,pvc_pipe_eq,=polymer_pipe_diam,"=VLOOKUP($E66,eq_table_cl,P$4,FALSE)","=VLOOKUP($E66,eq_table_cl,O$4,FALSE)","=IF(D66=0,0,IF(OR(D66>P66,D66<Q66),""contact vendor"",F66*D66^G66+H66*LN(D66)+I66+J66*EXP(K66*D66)+L66"
Stainless Steel,ss_pipe_eq_polymer,ss_pipe_eq,=polymer_pipe_diam,"=VLOOKUP($E67,eq_table_cl,P$4,FALSE)","=VLOOKUP($E67,eq_table_cl,O$4,FALSE)","=IF(D67=0,0,IF(OR(D67>P67,D67<Q67),""contact vendor"",F67*D67^G67+H67*LN(D67)+I67+J67*EXP(K67*D67)+L67"
